lon,lat,LCOE,max_elc,demand,co2,region,up_id,down_id,right_id,left_id,right_distance,left_distance,up_distance,down_distance,site_id,co2_cost
-142,60,0.07558923333333334,683142.80223,0.0,0.0,R0,R1,R-999,R6,R-999,111.59575365062906,,222.85810071473813,,R0,50
-142,62,0.10697952857142858,787003.81255,0.0,0.0,R1,R2,R0,R7,R-999,104.79234244804817,,222.92318402342943,222.85810071473813,R1,50
-142,64,0.0957220625,1250315.79654,0.0,0.0,R2,R3,R1,R8,R-999,97.85946990297386,,222.98507589467928,222.92318402342943,R2,50
-142,66,0.051321625,1870671.4239999999,0.0,0.0,R3,R4,R2,R9,R-999,90.80561117659744,,223.04347014369785,222.98507589467928,R3,50
-142,68,0.0817566125,1566350.40179,0.0,0.0,R4,R5,R3,R10,R-999,83.63940821168518,,223.09807750313698,223.04347014369785,R4,50
-142,70,0.06405845,414773.9021,0.0,0.0,R5,R-999,R4,R11,R-999,76.36965869230866,,,223.09807750313698,R5,50
-140,60,0.050977175,7012962.5289,0.0,0.0,R6,R7,R-999,R13,R0,111.59575365062906,111.59575365062906,222.85810071473813,,R6,50
-140,62,0.13113957962962963,5295614.33336,134.0313876,0.0,R7,R8,R6,R14,R1,104.79234244804817,104.79234244804817,222.92318402342943,222.85810071473813,R7,50
-140,64,0.09041193673469389,7270830.25951,0.0,0.0,R8,R9,R7,R15,R2,97.85946990297386,97.85946990297386,222.98507589467928,222.92318402342943,R8,50
-140,66,0.05718214,10857823.4624,209.6364168,0.0,R9,R10,R8,R16,R3,90.80561117659744,90.80561117659744,223.04347014369785,222.98507589467928,R9,50
-140,68,0.06971246086956522,8215050.65999,3.020425636,0.0,R10,R11,R9,R17,R4,83.63940821168518,83.63940821168518,223.09807750313698,223.04347014369785,R10,50
-140,70,0.04452227222222222,5008318.886,0.0,0.0,R11,R-999,R10,R18,R5,76.36965869230866,76.36965869230866,,223.09807750313698,R11,50
-138,58,0.0478323,241835.1795,0.0,0.0,R12,R13,R-999,R26,R-999,236.49689924857256,,222.79014748819745,,R12,50
-138,60,0.04348846170212766,12539665.5558,0.0,0.0,R13,R14,R12,R19,R6,111.59575365062906,111.59575365062906,222.85810071473813,222.79014748819745,R13,50
-138,62,0.06842693333333333,10402787.92624,0.0,0.0,R14,R15,R13,R20,R7,104.79234244804817,104.79234244804817,222.92318402342943,222.85810071473813,R14,50
-138,64,0.08128333962264152,8457130.08592,0.0,0.0,R15,R16,R14,R21,R8,97.85946990297386,97.85946990297386,222.98507589467928,222.92318402342943,R15,50
