lon,lat,LCOE,max_elc,demand,co2,region,up_id,down_id,right_id,left_id,right_distance,left_distance,up_distance,down_distance,site_id,co2_cost
-141,60,0.056970275,990423.1093,0.0,0.0,R0,R1,R-999,R11,R-999,55.799470393260385,,111.42072786973738,,R0,50
-141,61,0.10029576666666666,1805530.18595,0.0,0.0,R1,R2,R0,R12,R-999,54.106952852548226,,111.43737284500068,111.42072786973738,R1,50
-141,62,0.13873473,935088.40031,0.0,0.0,R2,R3,R1,R13,R-999,52.39772668635684,,111.45364869914782,111.43737284500068,R2,50
-141,63,0.12036938333333332,1248552.22053,0.0,0.0,R3,R4,R2,R14,R-999,50.672313414069706,,111.46953532428122,111.45364869914782,R3,50
-141,64,0.0804090375,1285274.90565,0.0,0.0,R4,R5,R3,R15,R-999,48.93124010863544,,111.48501307932553,111.46953532428122,R4,50
-141,65,0.0546795,1575932.6464,0.0,0.0,R5,R6,R4,R16,R-999,47.175039232189974,,111.500062815354,111.48501307932553,R5,50
-141,66,0.05464087777777778,1938626.0353,0.0,0.0,R6,R7,R5,R17,R-999,45.404248468318045,,111.51466590034875,111.500062815354,R6,50
-141,67,0.04975144166666667,2995238.1099,0.0,0.0,R7,R8,R6,R18,R-999,43.61941055101836,,111.52880424334909,111.51466590034875,R7,50
-141,68,0.09521199090909092,1681661.16017,0.0,0.0,R8,R9,R7,R19,R-999,41.82107309044281,,111.54246031795869,111.52880424334909,R8,50
-141,69,0.07642990000000001,2055245.41261,0.0,0.0,R9,R10,R8,R20,R-999,40.009788395485515,,111.55561718517784,111.54246031795869,R9,50
-141,70,0.03825035,627453.0095,0.0,0.0,R10,R-999,R9,R21,R-999,38.18611329330402,,,111.55561718517784,R10,50
-140,60,0.06162122,941197.3334,0.0,0.0,R11,R12,R-999,R22,R0,55.799470393260385,55.799470393260385,111.42072786973738,,R11,50
-140,61,0.07406652666666667,3081879.11307,0.0,0.0,R12,R13,R11,R23,R1,54.106952852548226,54.106952852548226,111.43737284500068,111.42072786973738,R12,50
-140,62,0.15598578181818182,837968.58702,0.0,0.0,R13,R14,R12,R24,R2,52.39772668635684,52.39772668635684,111.45364869914782,111.43737284500068,R13,50
-140,63,0.117085675,1223427.40682,0.0,0.0,R14,R15,R13,R25,R3,50.672313414069706,50.672313414069706,111.46953532428122,111.45364869914782,R14,50
-140,64,0.097631025,2111442.98737,0.0,0.0,R15,R16,R14,R26,R4,48.93124010863544,48.93124010863544,111.48501307932553,111.46953532428122,R15,50
-140,65,0.05618271666666667,2644297.196,0.0,0.0,R16,R17,R15,R27,R5,47.175039232189974,47.175039232189974,111.500062815354,111.48501307932553,R16,50
-140,66,0.04508079166666667,3235384.3254,0.0,0.0,R17,R18,R16,R28,R6,45.404248468318045,45.404248468318045,111.51466590034875,111.500062815354,R17,50
-140,67,0.061456383333333336,2508768.04824,0.0,0.0,R18,R19,R17,R29,R7,43.61941055101836,43.61941055101836,111.52880424334909,111.51466590034875,R18,50
-140,68,0.07793634,1548115.8961,0.0,0.0,R19,R20,R18,R30,R8,41.82107309044281,41.82107309044281,111.54246031795869,111.52880424334909,R19,50
-140,69,0.052324855555555556,2155935.1084000003,0.0,0.0,R20,R21,R19,R31,R9,40.009788395485515,40.009788395485515,111.55561718517784,111.54246031795869,R20,50
-140,70,0.0319899,724090.7196,0.0,0.0,R21,R-999,R20,R32,R10,38.18611329330402,38.18611329330402,,111.55561718517784,R21,50
-139,60,0.03540979090909091,3113248.06,0.0,0.0,R22,R23,R-999,R34,R11,55.799470393260385,55.799470393260385,111.42072786973738,,R22,50
-139,61,0.05169155714285715,3076826.39805,134.0313876,0.0,R23,R24,R22,R35,R12,54.106952852548226,54.106952852548226,111.43737284500068,111.42072786973738,R23,50
-139,62,0.10069010666666665,1825000.76443,0.0,0.0,R24,R25,R23,R36,R13,52.39772668635684,52.39772668635684,111.45364869914782,111.43737284500068,R24,50
-139,63,0.1181791923076923,1455260.89882,0.0,0.0,R25,R26,R24,R37,R14,50.672313414069706,50.672313414069706,111.46953532428122,111.45364869914782,R25,50
-139,64,0.10007075833333333,1529436.29201,0.0,0.0,R26,R27,R25,R38,R15,48.93124010863544,48.93124010863544,111.48501307932553,111.46953532428122,R26,50
-139,65,0.04611671428571429,3127270.3128,209.6364168,0.0,R27,R28,R26,R39,R16,47.175039232189974,47.175039232189974,111.500062815354,111.48501307932553,R27,50
-139,66,0.075838475,2188165.88217,0.0,0.0,R28,R29,R27,R40,R17,45.404248468318045,45.404248468318045,111.51466590034875,111.500062815354,R28,50
-139,67,0.08527408333333332,1719579.66413,0.0,0.0,R29,R30,R28,R41,R18,43.61941055101836,43.61941055101836,111.52880424334909,111.51466590034875,R29,50
-139,68,0.05968738888888889,1894107.6547,0.0,0.0,R30,R31,R29,R42,R19,41.82107309044281,41.82107309044281,111.54246031795869,111.52880424334909,R30,50
-139,69,0.04243838333333333,2827731.0398,3.020425636,0.0,R31,R32,R30,R43,R20,40.009788395485515,40.009788395485515,111.55561718517784,111.54246031795869,R31,50
-139,70,0.032055466666666664,1083375.7445,0.0,0.0,R32,R-999,R31,R77,R21,152.71877416769337,38.18611329330402,,111.55561718517784,R32,50
-138,59,0.047466133333333334,753672.2753,0.0,0.0,R33,R34,R-999,R44,R-999,57.47476350363418,,111.40373432223176,,R33,50
-138,60,0.039178033333333334,3598413.2165,0.0,0.0,R34,R35,R33,R45,R22,55.799470393260385,55.799470393260385,111.42072786973738,111.40373432223176,R34,50
-138,61,0.04971195625,3774067.7071,0.0,0.0,R35,R36,R34,R46,R23,54.106952852548226,54.106952852548226,111.43737284500068,111.42072786973738,R35,50
-138,62,0.06736849285714286,2498153.7076,0.0,0.0,R36,R37,R35,R47,R24,52.39772668635684,52.39772668635684,111.45364869914782,111.43737284500068,R36,50
-138,63,0.09453933333333332,1503364.98134,0.0,0.0,R37,R38,R36,R48,R25,50.672313414069706,50.672313414069706,111.46953532428122,111.45364869914782,R37,50
-138,64,0.09620886428571429,1882007.71008,0.0,0.0,R38,R39,R37,R49,R26,48.93124010863544,48.93124010863544,111.48501307932553,111.46953532428122,R38,50
-138,65,0.05507455,2609576.4411,0.0,0.0,R39,R40,R38,R50,R27,47.175039232189974,47.175039232189974,111.500062815354,111.48501307932553,R39,50
-138,66,0.09994645833333334,1558000.88351,0.0,0.0,R40,R41,R39,R51,R28,45.404248468318045,45.404248468318045,111.51466590034875,111.500062815354,R40,50
-138,67,0.12861938333333334,1151514.34453,0.0,0.0,R41,R42,R40,R52,R29,43.61941055101836,43.61941055101836,111.52880424334909,111.51466590034875,R41,50
-138,68,0.053564310000000004,2581960.8607,0.0,0.0,R42,R43,R41,R53,R30,41.82107309044281,41.82107309044281,111.54246031795869,111.52880424334909,R42,50
-138,69,0.042945033333333334,2465946.2018,0.0,0.0,R43,R-999,R42,R54,R31,40.009788395485515,40.009788395485515,,111.54246031795869,R43,50
-137,59,0.04474915,2249643.1033,0.0,0.0,R44,R45,R-999,R55,R33,57.47476350363418,57.47476350363418,111.40373432223176,,R44,50
-137,60,0.041718986666666666,4284995.6186999995,0.0,0.0,R45,R46,R44,R56,R34,55.799470393260385,55.799470393260385,111.42072786973738,111.40373432223176,R45,50
-137,61,0.05207743571428571,3245579.7749,0.0,0.0,R46,R47,R45,R57,R35,54.106952852548226,54.106952852548226,111.43737284500068,111.42072786973738,R46,50
