lon,lat,LCOE,max_elec
-128.2151162,51.61723209,0.0304834,379469.9675
-128.0580746,51.46452756,0.0320687,360710.5612
-127.9022362,51.31165603,0.029417,393226.2254
-127.7475891,51.15862135,0.0320874,360500.3021
-127.5941215,51.00542733,0.0307204,376542.1745
-127.4418217,50.85207773,0.0278424,415464.2781
-127.2906782,50.6985763,0.0358057,323063.2454
-127.1406795,50.54492671,0.0523506,220962.6985
-126.9918143,50.39113262,0.0469948,246144.7112
-126.8440715,50.23719765,0.064209,180154.4287
-126.69744,50.08312538,0.0500485,231126.5152
-126.5519088,49.92891936,0.0573739,201616.5346
-126.407467,49.77458309,0.0756176,152973.9495
-126.2641041,49.62012005,0.0653055,177129.4491
-126.1218093,49.46553367,0.0721174,160398.5813
-125.9805722,49.31082736,0.0600356,192677.7069
-125.8403824,49.15600449,0.0493116,234580.0952
-125.7012297,49.00106839,0.0412196,280631.7092
-125.5631039,48.84602237,0.0326186,354629.3038
-141.1449998,60.96067593,0.1440893,80280.27243
-140.8801681,60.82832139,0.0835649,138425.7511
-140.6175886,60.69544784,0.0662559,174588.7328
-140.3572418,60.56206287,0.055772,207407.2899
-140.0991078,60.42817401,0.0662075,174716.1853
-139.8431669,60.2937887,0.0563299,205353.3116
-139.3377859,60.02355814,0.0285224,405559.7106
-139.0883067,59.8877274,0.0273,423718.8544
-138.8409424,59.75142922,,
-137.6351684,59.06317148,0.0558031,207291.6612
-137.4000891,58.92421445,0.0478323,241835.1795
-131.1883575,54.58778318,0.0239567,482851.6387
-131.0065229,54.43857355,0.0250526,461729.7717
-130.8261472,54.28911793,0.0260007,444891.7316
-130.6472157,54.13942099,0.029313,394620.9369
-130.469714,53.98948739,0.0358629,322548.4685
-130.2936278,53.8393217,0.0358902,322303.5007
-130.1189429,53.68892848,0.0366455,315660.0324
-129.9456451,53.5383122,0.0336682,343573.7344
-129.7737206,53.38747733,0.0318033,363720.2322
-129.6031556,53.23642825,0.0306287,377669.492
-129.4339365,53.08516931,0.0305835,378227.0055
-129.2660498,52.93370484,0.0303365,381306.7809
-129.099482,52.78203907,0.0391846,295205.7301
-128.9342201,52.63017625,0.0380996,303612.4233
-128.7702508,52.47812052,0.0353737,327009.2233
-128.6075612,52.32587603,0.0334746,345560.9303
-128.4461386,52.17344686,0.0330729,349757.7452
-128.2859702,52.02083705,0.0332866,347513.0211
-128.1270435,51.8680506,0.0365595,316402.2285
-127.969346,51.71509147,0.0399253,289728.8321
-127.8128655,51.56196359,0.0389329,297114.3144
-127.6575898,51.40867083,0.0398949,289949.7627
-127.5035069,51.25521702,0.0459487,251748.8188
-127.3506048,51.10160597,0.041929,275883.3234
-127.1988719,50.94784144,0.040354,286650.9204
-127.0482963,50.79392714,0.0289797,399159.0263
-126.8988667,50.63986676,0.0324963,355964.4354
-126.7505716,50.48566395,0.0453694,254963.2953
-126.6033998,50.33132231,0.0550322,210195.7853
-126.45734,50.17684541,0.0707949,163395.051
-126.3123813,50.02223678,0.0574221,201447.4317
-126.1685127,49.86749993,0.0764019,151403.644
-126.0257235,49.71263833,0.0689569,167750.1056
-125.8840029,49.55765539,0.0592339,195285.5411
-125.7433404,49.40255451,0.0641946,180194.7715
-125.6037255,49.24733905,0.0681234,169802.576
-125.465148,49.09201234,0.0715729,161618.84
-125.3275976,48.93657766,0.0563579,205251.3179
-125.1910642,48.78103828,0.0404146,286221.0984
-125.0555378,48.62539743,0.0341499,338727.9341
-141.1392213,61.22210165,0.1050513,110113.1507
-140.8721664,61.089706,0.2351422,49193.78608
-140.6074023,60.95678558,0.0697098,165938.4452
-140.3449086,60.82334811,0.0420379,275168.9148
-140.0846651,60.68940123,0.0428298,270081.5012
-139.8266515,60.55495247,0.0596781,193832.0433
-139.5708478,60.42000932,0.0607168,190516.1034
-139.3172337,60.28457917,0.0591748,195480.7769
-139.0657894,60.14866932,0.0421674,274323.6093
-138.8164947,60.01228702,0.0355277,325591.2238
-138.5693299,59.87543942,0.0370369,312323.9329
-138.3242751,59.73813361,0.0314465,367847.6013
-138.0813106,59.60037659,0.0519304,222750.4155
-137.8404167,59.46217529,0.0497289,232611.8591
-137.601574,59.32353657,0.0368664,313768.755
-137.3647629,59.18446721,0.0392458,294745.692
-137.1299642,59.04497392,0.085626,135093.5878
-130.9309159,54.69352479,0.026459,437186.3822
-130.7496028,54.54385045,0.0303474,381169.6463
-130.5697527,54.39393239,0.0313964,368434.6462
-130.3913508,54.2437753,0.0325819,355029.0897
-130.2143823,54.09338382,0.0344866,335420.2578
-130.0388329,53.94276251,0.0360289,321062.4333
-129.8646882,53.79191593,0.0349985,330514.7717
-129.6919339,53.64084855,0.0381923,302875.672
-129.520556,53.48956481,0.0390535,296196.8961
-129.3505406,53.33806911,0.0376005,307642.8019
-129.1818738,53.18636579,0.0409358,282577.4286
-129.0145421,53.03445914,0.0445597,259596.0403
-128.8485319,52.88235342,0.0465085,248718.4612
-128.6838299,52.73005284,0.0482721,239631.6881
-128.5204228,52.57756156,0.0498572,232012.9542
-128.3582977,52.42488371,0.0485855,238085.8244
-128.1974414,52.27202335,0.048737,237345.8199
-128.0378413,52.11898453,0.0511033,226355.8679
-127.8794846,51.96577123,0.0467565,247399.4151
-127.7223589,51.81238741,0.0492375,234933.0805
-127.5664517,51.65883697,0.0574022,201516.9744
-127.4117507,51.50512379,0.050447,229300.3754
-127.2582438,51.35125169,0.0587802,196792.8981
-127.1059191,51.19722447,0.0482099,239940.9512
-126.9547646,51.04304586,0.0551902,209593.8801
-126.8047686,50.88871959,0.0499545,231561.0157
-126.6559195,50.73424932,0.0333717,346626.6535
-126.5082057,50.57963869,0.035016,330349.2401
-126.361616,50.4248913,0.0451443,256234.6996
-126.216139,50.27001072,0.0600228,192718.7658
-126.0717637,50.11500045,0.0646316,178976.4642
