lon,lat,demand
-139.2672084,61.18927352,1340.313876
-135.4868249,59.41397288,184.0571872
-130.965743,56.58250825,825.8976349
-128.6865388,53.63731693,48047.42081
-131.942784,53.19915789,5200.795392
-126.2017716,50.82879185,147308.046
-124.0926711,49.05462725,2372191.325
-139.1585665,65.41959404,2096.364168
-135.6225387,62.98314741,2701.393178
-131.4681976,60.41578276,35447.52649
-127.9527862,57.74129679,1750.902986
-124.9566563,54.99029267,127197.6746
-122.3834263,52.18743548,102782.2527
-120.2145001,49.87641554,1798152.826
-139.2564159,68.92812783,30.20425636
-134.4616433,67.52943937,5569.85365
-129.7190157,64.92312512,1852.842351
-125.8327998,62.18609237,268.0627752
-122.6115725,59.36062092,7997.520755
-119.9110759,56.47530399,218615.5759
-117.6222307,53.55268419,103038.045
-115.6452615,50.64113026,1991002.283
-113.4742781,49.14230098,24975.14448
-127.2927807,69.05009185,329.4151709
-122.9701796,66.59521179,630.5138515
-119.5399727,63.69626721,2718.383073
-116.7554464,60.73090842,5918.146481
-114.4581862,57.72398068,112452.3342
-112.5352746,54.69486306,1668145.211
-110.9048992,51.65912457,352604.4888
-109.6345909,49.54683955,110473.9554
-121.7220787,73.29984415,121.7609085
-120.7747853,69.38763008,4.71941506
-117.6910775,71.35516984,401.1502798
-115.359402,67.90450842,1718.810964
-112.6123344,64.90109057,207.6542625
-110.4194479,61.81581104,22436.09918
-108.6360015,58.70685262,3106.31899
-107.1592804,55.5898411,39887.55217
-105.9176751,52.47754035,574836.0805
-104.9059942,49.92181265,406722.9651
-115.7071599,77.32111136,11.32659614
-107.1318685,68.93547417,2005.751399
-105.1362163,65.75793793,32.09202238
-103.6818432,62.58238208,5.66329807
-102.512089,59.39799332,3161.064205
-101.5514556,56.21687319,24511.69792
-100.7488088,53.04929885,64657.87404
-100.0621231,50.19143321,350068.2751
-100.3313693,78.42134104,10.38271312
-99.41964083,75.89055274,322.8079899
-97.76392402,72.69654419,0.94388301
-97.75882036,69.32503278,1517.763882
-97.27055117,66.2321794,1.88776602
-96.67508533,63.00806477,2120.905126
-96.64032075,59.74114036,4013.390564
-95.78810253,56.5603519,20094.32543
-95.45938023,53.36190443,29971.11726
-95.11325153,50.28478616,1001336.226
-93.51308044,48.54515458,554.0593276
-82.84013864,81.67328349,0.94388301
-86.02700413,79.102053,25.4848413
-87.39274364,75.90807078,158.5723459
-86.50205583,72.44452714,938.2197132
-88.92103078,69.43397472,2000.088101
-89.29608506,66.3106452,1071.307218
-91.2277895,63.66752283,3465.938417
-90.28840475,56.08317569,1428.094996
-90.11985404,53.40825659,2481.468437
-90.255176,50.23231717,28051.25921
-90.43075454,48.34840431,119938.2704
-69.41642184,81.60261477,39.64308647
-78.57099768,72.04909378,1815.087031
-79.98108934,69.37017551,2300.242899
-83.63968356,63.26401311,0.94388301
-83.31579079,63.88929988,946.7146603
-84.8693993,55.19327684,299.2109146
-84.84694531,53.17010308,436.0739512
-85.33268339,50.04202569,25615.09716
-84.51961965,47.49176523,88792.96264
-85.81077722,47.39806749,2.83164903
-70.5632463,70.55882905,1356.359887
-71.1388721,68.36732,19.82154324
-73.10343614,65.09736723,1547.024256
-75.32115238,61.54923572,1938.735705
-76.18982144,58.99470831,3606.576986
-77.14039242,55.3721075,2203.966831
-79.06216766,56.45049212,1014.674237
-79.25583121,52.5638855,16756.7551
-80.51755561,49.5881568,153007.2117
-81.20628623,46.64930966,446469.8787
-81.193952,43.40956211,3320930.614
-64.7230411,66.72667132,2206.79848
-64.43985427,65.29141409,18.87766023
-67.27549641,64.02099069,7602.033773
-68.08169012,62.37303132,480.4364527
-71.0548692,60.57492251,1803.760435
-71.33199637,58.07053021,3648.107839
-73.0282585,55.03369467,83.06170499
-74.53047395,51.96928426,4981.814534
-75.81555635,48.91443187,94460.03624
-76.96412008,45.91784624,2080417.265
-78.61585835,43.8636509,7819179.723
-64.80613182,61.57624954,0.94388301
-64.22171902,59.14003327,17.93377721
-65.64798095,56.91243014,25.4848413
-67.83608953,53.9744671,14597.15077
-69.68895079,50.99846195,30268.44041
-71.34153681,48.04149547,1442285.333
-72.73198227,45.77814082,5903299.201
-61.11587164,55.23760872,3623.56688
-62.95924504,52.68354495,10810.29213
-65.0270698,50.46501412,44337.96057
-65.57538992,48.74014579,70416.50429
-66.69477667,47.01055898,693854.0649
-57.17277372,53.43183553,3345.121392
-58.42225292,51.35055589,30522.34494
-61.67227718,47.47340778,13212.47439
-63.04793156,45.63309882,1137208.186
-65.37358213,44.0482839,79516.4804
-54.96700721,48.91159678,128489.8504
-56.3253036,47.78555985,36588.68105
-52.90532587,47.4946229,210316.9565
-53.41736471,46.86242271,3168.615269
